"filename", "language", "C#", "MSBuild", "Markdown", "JSON", "comment", "blank", "total"
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWorkCoreModule\OriginFrameWorkEntityFrameWorkCoreModule.cs", "C#", 44, 0, 0, 0, 2, 2, 48
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWorkCoreModule\PageWithSortDto.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWork\DeviceManagementSystemContext.cs", "C#", 32, 0, 0, 0, 0, 11, 43
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWork\MainDevice.cs", "C#", 35, 0, 0, 0, 0, 32, 67
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWork\OriginFrameWork.EntityFrameWork.csproj", "MSBuild", 0, 17, 0, 0, 0, 5, 22
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.EntityFrameWork\OriginFrameWorkEntityFrameWorkModule.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.HttpResponseContentModule\HttpResponseContent.cs", "C#", 36, 0, 0, 0, 0, 7, 43
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.HttpResponseContentModule\OriginFrameWork.HttpResponseContentModule.csproj", "MSBuild", 0, 8, 0, 0, 0, 0, 8
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.IHotPluginModule\IHotPlugin.cs", "C#", 5, 0, 0, 0, 0, 2, 7
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.IHotPluginModule\OriginFrameWork.IHotPluginModule.csproj", "MSBuild", 0, 10, 0, 0, 0, 0, 10
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.JwtBearerModule\IJwtCreatService.cs", "C#", 11, 0, 0, 0, 1, 2, 14
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.JwtBearerModule\JwtCreatService.cs", "C#", 31, 0, 0, 0, 9, 2, 42
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.JwtBearerModule\OriginFrameWork.JwtBearerModule.csproj", "MSBuild", 0, 13, 0, 0, 0, 4, 17
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.JwtBearerModule\OriginFrameWorkJwtBearerModule.cs", "C#", 49, 0, 0, 0, 37, 12, 98
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.JwtBearerModule\TokenCreateModel.cs", "C#", 37, 0, 0, 0, 5, 8, 50
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\IRedisWorker.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\OriginFrameWork.RedisWorkModule.csproj", "MSBuild", 0, 12, 0, 0, 0, 0, 12
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\OriginRedisWorkModule.cs", "C#", 20, 0, 0, 0, 0, 2, 22
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.RedisWorkModule\RedisConnection.cs", "C#", 9, 0, 0, 0, 3, 0, 12
